Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
PFDN6	4	-0.6657	-6.6347	0.052035000000000005	0.6845899999999999	3.2525e-11	8.0476e-10	-0.58339	-5.9576	0.068798	0.70995	2.5598000000000006e-09	5.417999999999999e-08	-0.58508	-6.3393	0.053528	0.7268600000000001	2.3086000000000002e-10	6.77e-09	-0.56872	-5.3303	0.056766	0.71548	9.805300000000001e-08	2.3697e-06
SLC35E4	4	0.22637	2.6652	0.038613	0.63935	0.007693600000000001	0.026948000000000003	-0.051266	-0.58853	0.66163	0.9799399999999999	0.55618	0.7070000000000001	0.057231	0.68307	0.33121	0.9313600000000001	0.49456000000000006	0.65776	0.17144	1.9329	0.080877	0.7562	0.053247	0.15047
SYNGR3	4	0.23586	2.1811	0.034709	0.63146	0.029179000000000004	0.080221	-0.2581	-2.1973	0.49266000000000004	0.96131	0.027999999999999997	0.079889	0.21224	2.048	0.060635	0.73614	0.040563999999999996	0.1088	0.10618	0.90176	0.17672000000000002	0.85091	0.36718	0.56652
MMEL1	4	-0.61133	-4.6665	0.069832	0.72012	3.064e-06	2.9901e-05	-0.6230100000000001	-4.7669999999999995	0.054561	0.67202	1.8694999999999998e-06	2.1091e-05	-0.67528	-5.3511	0.030760000000000003	0.66866	8.7414e-08	1.5601e-06	-0.56017	-4.0647	0.060038	0.7280399999999999	4.8091000000000004e-05	0.000542
PAK6	4	0.20446	2.1528	0.05037	0.67935	0.031335	0.08479500000000001	0.26775	2.8567	0.019347	0.54797	0.0042805	0.017405	-0.1822	-1.9011	0.65395	0.98108	0.05729	0.14189000000000002	0.16080999999999998	1.5837	0.091704	0.7719	0.11327000000000001	0.2614
POLR2M	4	-0.63786	-7.2318	0.060726999999999996	0.70533	4.7665e-13	1.5845e-11	-0.45918000000000003	-5.3591	0.14406	0.8360299999999999	8.3657e-08	1.285e-06	-0.24681999999999998	-3.0449	0.44853000000000004	0.9585799999999999	0.0023279	0.011170999999999999	-0.28176	-3.1979	0.3538	0.9230299999999999	0.0013844	0.0087656
HCFC1	4	-0.7701899999999999	-7.7966	0.029851999999999997	0.60487	6.3604e-15	2.6069e-13	-0.79008	-8.008	0.02201	0.56398	1.1655999999999998e-15	6.4049e-14	-0.5867399999999999	-6.3943	0.052896000000000006	0.72573	1.6128999999999997e-10	4.8861e-09	-0.73032	-6.9707	0.022147999999999998	0.59577	3.1526e-12	1.9268e-10
PQLC1	7	0.2331	4.0078	0.03603	0.63146	6.129800000000001e-05	0.00043778	0.28007	4.8412	0.016809	0.5280600000000001	1.2906e-06	1.5252e-05	0.47405	8.4322	0.0048338	0.48066000000000003	3.3926e-17	2.9400999999999998e-15	0.1657	2.7461	0.086767	0.76598	0.006030399999999999	0.028551999999999998
KIAA0922	4	0.56442	7.0509	0.0014925999999999997	0.33176	1.7776e-12	5.3849e-11	0.48268	6.0092	0.0025604	0.34094	1.864e-09	4.0689e-08	0.67969	8.6843	0.0013089	0.39437	3.8119e-18	3.7303e-16	0.5777100000000001	7.0467	0.0016878	0.45169	1.8326e-12	1.1956e-10
PFDN2	6	-0.96181	-9.4419	0.011436	0.46347	3.6606999999999996e-21	3.1724e-19	-0.9794700000000001	-9.6384	0.0083013	0.42017	5.5028e-22	6.610500000000001e-20	-0.57045	-6.4988	0.058947	0.73125	8.098600000000001e-11	2.6076e-09	-0.80324	-7.4994	0.014524	0.5269699999999999	6.4126e-14	5.4404e-12
TEC	4	0.39352	4.1191	0.005568600000000001	0.39676	3.8034e-05	0.00028668	0.37498000000000004	3.9289	0.005982	0.39778	8.5332e-05	0.00062114	0.3762	4.0612	0.010965	0.5526800000000001	4.8828e-05	0.00041837	0.2222	2.1715	0.043217	0.69843	0.029896	0.097741
IPO11	4	-0.61128	-7.5643	0.069832	0.72012	3.9007999999999996e-14	1.4933e-12	-0.52432	-6.5761	0.09756000000000001	0.77552	4.8309e-11	1.3705e-09	-0.46413000000000004	-6.0316	0.11285	0.80704	1.623e-09	4.1821e-08	-0.41702	-5.0576	0.14869000000000002	0.8295899999999999	4.2446999999999994e-07	8.8443e-06
TSHB	6	0.21525999999999998	2.9429	0.044285000000000005	0.66286	0.0032516	0.013196000000000001	0.084547	1.1388	0.18574000000000002	0.8679899999999999	0.25481	0.42218999999999995	0.080762	1.1324	0.26293	0.9069	0.25748000000000004	0.42589	-0.009940899999999999	-0.12343	0.56607	0.9614299999999999	0.90176	0.9494
SRCAP	4	-0.74516	-7.499	0.034376	0.6314	6.4326e-14	2.3790000000000003e-12	-0.61145	-6.3073	0.05874	0.68181	2.8395999999999997e-10	7.0763e-09	-0.57907	-6.2423	0.055767	0.72712	4.3118000000000006e-10	1.2114e-08	-0.34196	-3.4709	0.24056	0.8816299999999999	0.0005187	0.0039507
ZNF778	4	0.29257	3.2511	0.016901	0.51469	0.0011496	0.0054878	0.31713	3.5449	0.011218	0.45748	0.00039272	0.0023475	0.046124	0.51726	0.36739	0.9429799999999999	0.6049800000000001	0.74485	0.038624	0.39350999999999997	0.36496999999999996	0.92448	0.69394	0.8283299999999999
RAB3GAP1	4	-0.85683	-11.012	0.019094	0.54169	3.3457999999999996e-28	5.498200000000001e-26	-0.6763600000000001	-8.8506	0.039979	0.63012	8.705599999999999e-19	7.0205e-17	-0.55566	-7.4815	0.06455	0.74464	7.3485e-14	4.0766e-12	-0.55405	-7.0892	0.06236900000000001	0.73172	1.3487e-12	9.0709e-11
ZIC2	4	0.44393999999999995	4.9999	0.0035938000000000003	0.38364000000000004	5.736699999999999e-07	6.6088999999999995e-06	0.42638000000000004	4.8062	0.0039153	0.35545	1.5386000000000002e-06	1.782e-05	0.053167	0.59546	0.34345	0.9321799999999999	0.5515399999999999	0.7046600000000001	0.080722	0.83845	0.23456999999999997	0.87936	0.40178	0.5995
DHCR7	4	0.40031	4.6102	0.0052242	0.38974000000000003	4.0225e-06	3.8372e-05	0.31561999999999996	3.6141	0.011413	0.46143	0.00030145	0.0018742999999999998	0.15695	1.8219999999999998	0.11447	0.8076	0.068462	0.16257	0.21168	2.285	0.049371	0.70926	0.022311	0.078747
HEPACAM	4	0.20544	2.3553	0.049739	0.6774	0.01851	0.055571	0.27669	3.1993	0.017372	0.53196	0.0013775	0.00674	0.31375	3.7181	0.020449000000000002	0.61859	0.00020072	0.0014058	0.36305	4.0852	0.0089902	0.51782	4.4043999999999994e-05	0.00050341
GDF5	4	0.21918	2.4939	0.042287	0.6574	0.012636	0.040706	0.07045499999999999	0.79343	0.21741	0.88271	0.42753	0.59946	0.1675	1.9453	0.10159	0.80295	0.051740999999999995	0.13155	0.09572	1.0407	0.19848	0.8667	0.29803	0.4953
TLE6	5	0.23454	3.0168	0.035341000000000004	0.63146	0.0025544	0.010776	0.049092000000000004	0.62246	0.27275	0.9014	0.53364	0.68861	0.08001699999999999	1.0437	0.265	0.90759	0.29664	0.46948999999999996	0.13187000000000001	1.6205	0.13043	0.8175100000000001	0.10513	0.24804
B9D2	4	0.21488000000000002	2.2226	0.044525999999999996	0.66286	0.026244	0.073709	0.009957500000000001	0.10025	0.40141	0.94227	0.92015	0.95462	-0.024205	-0.25346	0.65052	0.98054	0.79991	0.88277	0.059392999999999994	0.56404	0.29612	0.90765	0.5727300000000001	0.7413
NCL	5	-1.0886	-10.037	0.0064642	0.41313999999999995	1.048e-23	1.1338e-21	-1.1605	-10.583	0.0037201	0.35545	3.5795e-26	6.297999999999999e-24	-0.89325	-9.2058	0.0092887	0.52308	3.3922999999999996e-20	4.6528e-18	-0.8146800000000001	-7.3729	0.013571000000000001	0.52651	1.6699e-13	1.3283e-11
CTU2	4	-0.8857799999999999	-9.579	0.016304	0.50961	9.797599999999999e-22	8.9824e-20	-0.77982	-8.5989	0.023319	0.57535	8.0456e-18	5.7673e-16	-0.57901	-6.7826	0.05579	0.72712	1.1806e-11	4.3263000000000004e-10	-0.56542	-6.0877	0.058017	0.72048	1.1453e-09	4.356e-08
ZBTB17	4	-0.87603	-8.8627	0.017141999999999998	0.5193	7.810600000000001e-19	5.273399999999999e-17	-0.89259	-9.0426	0.013181	0.48439	1.5295999999999998e-19	1.3734000000000001e-17	-0.8249200000000001	-8.7084	0.013387999999999999	0.56295	3.0829000000000004e-18	3.0339e-16	-0.84154	-8.138	0.011907	0.51782	4.0202e-16	5.0379e-14
LONP1	4	-0.6383	-6.3759	0.060532	0.70481	1.8193e-10	3.9963e-09	-0.43876000000000004	-4.5256	0.16371	0.85415	6.0226e-06	5.9981999999999996e-05	-0.31185	-3.3766	0.29944	0.91915	0.00073378	0.0042534999999999995	-0.23515	-2.3679	0.47191000000000005	0.94463	0.017889	0.066977
GLO1	4	-0.67786	-4.3187	0.048614	0.67413	1.5695e-05	0.00013043	-0.040822000000000004	-0.29094000000000003	0.6150899999999999	0.97724	0.7711	0.8608399999999999	-0.49032	-3.4198	0.096343	0.80285	0.0006267	0.0037347	-0.61263	-3.6706	0.043802999999999995	0.69982	0.00024195	0.0020751
MRPL53	6	-0.6389	-8.9358	0.060325	0.7044199999999999	4.041599999999999e-19	2.8502e-17	-0.6238	-8.783999999999999	0.054309	0.67106	1.5780000000000002e-18	1.2381e-16	-0.10522000000000001	-1.6339	0.9748399999999999	0.99885	0.10227	0.2192	-0.063062	-0.9126700000000001	0.8175100000000001	0.9905799999999999	0.36141999999999996	0.56055
MEX3A	5	-0.67002	-7.5369	0.050783999999999996	0.68077	4.8118e-14	1.8221e-12	-0.43418999999999996	-5.0714	0.16825	0.8554200000000001	3.9493e-07	5.3122000000000006e-06	-0.3299	-4.0381	0.26798	0.9083200000000001	5.3882e-05	0.00045495	-0.35812	-4.0051	0.2168	0.87197	6.1982e-05	0.00067186
REG1A	5	0.70695	6.4556	0.00062001	0.31429	1.0782e-10	2.4583e-09	0.7005	6.4088	0.00063149	0.23692	1.4665e-10	3.8355e-09	0.76904	7.2441	0.0009415	0.39437	4.3517e-13	2.094e-11	0.64554	5.6369	0.0010218999999999998	0.43333	1.7316e-08	5.0534e-07
LAMB3	4	-0.74815	-5.4625	0.033791	0.62961	4.6944999999999995e-08	6.8659e-07	-0.16196	-1.2929	0.8336600000000001	0.9896799999999999	0.19605999999999998	0.35085	-0.76584	-5.8726	0.018509	0.60525	4.2895e-09	1.018e-07	-0.59507	-4.1925	0.048522	0.70926	2.7593e-05	0.00033447
ABCF1	4	-0.71275	-7.4428	0.040978	0.65589	9.8602e-14	3.5782e-12	-0.55804	-5.9766	0.079821	0.73722	2.2781e-09	4.8692000000000003e-08	-0.13934000000000002	-1.6115	0.82389	0.9908799999999999	0.10707	0.22671	-0.35838000000000003	-3.7452	0.21641999999999997	0.87197	0.00018024	0.0016317999999999999
CLDND2	4	0.26054	2.737	0.025742	0.58614	0.0061994	0.022502	0.21056	2.2088	0.038889	0.6272	0.027188999999999998	0.078173	0.16953	1.8055	0.099087	0.80295	0.07099	0.1671	0.24413	2.498	0.033148000000000004	0.64994	0.012487999999999999	0.050960000000000005
GNB2L1	4	-1.2321	-10.785	0.0037086	0.38364000000000004	4.0639000000000004e-27	5.948700000000001e-25	-1.0786	-9.854	0.0052242	0.38159	6.586499999999999e-23	8.757999999999999e-21	-0.21727	-2.3896	0.5344399999999999	0.97141	0.016865	0.055048	-0.24583000000000002	-2.4582	0.44317	0.9424399999999999	0.013963	0.055277
PAX7	6	0.44208000000000003	6.7082	0.0036626999999999996	0.38364000000000004	1.9702e-11	5.1146e-10	0.39383	5.9668	0.005029	0.37617	2.419e-09	5.1449e-08	0.4331	6.709	0.0067053	0.49915	1.9589999999999997e-11	6.9357e-10	0.45813000000000004	6.7620000000000005	0.0038923	0.47778000000000004	1.3607e-11	7.248200000000001e-10
CENPE	6	-0.78458	-9.5859	0.027658999999999996	0.5959300000000001	9.1659e-22	8.447599999999999e-20	-0.70025	-8.748	0.035593	0.6150800000000001	2.1713e-18	1.6661999999999998e-16	-0.67503	-8.9249	0.030782	0.66866	4.461600000000001e-19	5.0413e-17	-0.7064	-8.1264	0.025488999999999998	0.62416	4.4212999999999995e-16	5.5010000000000004e-14
SAP30	4	0.25423	2.8125	0.027992000000000003	0.5959300000000001	0.0049153	0.018581	0.15061	1.6546	0.08392000000000001	0.75051	0.098004	0.20968	0.12894	1.4506	0.1559	0.8406799999999999	0.14689000000000002	0.28655	0.11927	1.2533	0.15123	0.8315	0.21009	0.3943
SLC33A1	5	-0.73117	-6.5439	0.03681	0.63478	5.9929e-11	1.428e-09	-0.63683	-5.8507	0.050474	0.65417	4.8941e-09	9.7207e-08	-0.72053	-6.9085	0.023974000000000002	0.64499	4.897000000000001e-12	1.904e-10	-0.76153	-6.2147	0.01844	0.5746	5.1435e-10	2.1166e-08
LYG1	6	0.21061999999999997	2.9454	0.046731	0.66585	0.0032251999999999997	0.013111000000000001	-0.016847	-0.23146	0.51059	0.96496	0.81696	0.8914700000000001	-0.013034	-0.18377000000000002	0.6009399999999999	0.9769	0.85419	0.91448	0.08823099999999999	1.178	0.21595	0.87197	0.23878000000000002	0.42946000000000006
GPS2	4	-0.7854300000000001	-6.0797	0.027545	0.5959300000000001	1.2038e-09	2.3403e-08	-0.65788	-5.2646	0.044456999999999997	0.6409199999999999	1.4053e-07	2.0902e-06	-0.55978	-4.821000000000001	0.06303500000000001	0.73824	1.4287e-06	1.9233e-05	-0.58925	-4.402	0.050118	0.70926	1.0725999999999999e-05	0.00014971
DDX46	4	-0.76071	-6.5161	0.031425	0.6123	7.216e-11	1.6894999999999998e-09	-0.51526	-4.652	0.10321	0.7830199999999999	3.2866000000000004e-06	3.4759000000000004e-05	-0.6267199999999999	-5.8411	0.041369	0.69408	5.1869e-09	1.2128e-07	-0.33415	-2.9078	0.253	0.88639	0.00364	0.018916
FAM211A	4	0.26028	3.492	0.02588	0.58839	0.00047933	0.002593	0.11880999999999999	1.5823	0.12448	0.81206	0.11357	0.23448000000000002	0.080442	1.0885	0.2638	0.90725	0.27639	0.4479	0.10797999999999999	1.3947	0.17298	0.8471200000000001	0.1631	0.33345
YAE1D1	4	-0.7237899999999999	-8.2524	0.038360000000000005	0.6390100000000001	1.553e-16	7.707300000000001e-15	-0.71722	-8.2238	0.032505	0.61142	1.972e-16	1.1605e-14	-0.21865	-2.7772	0.53001	0.97045	0.0054833	0.022591	-0.25583	-2.9738	0.41584	0.9358799999999999	0.0029411999999999997	0.015941
GGN	4	0.39287	4.4979	0.005626	0.39676	6.8625e-06	6.242199999999999e-05	0.35399	4.0483	0.0073598	0.41491000000000006	5.1587e-05	0.00040223	0.47267	5.5947	0.0048453	0.48066000000000003	2.2105000000000002e-08	4.4748000000000003e-07	0.43483	4.8180000000000005	0.004650100000000001	0.48318	1.4499e-06	2.628e-05
ZFYVE21	4	0.20262	2.7418	0.051633000000000005	0.68343	0.0061108	0.022236000000000002	0.1685	2.2792	0.066261	0.7038300000000001	0.022656	0.067634	0.2836	3.9174	0.028234	0.6603899999999999	8.9506e-05	0.00070261	0.31551999999999997	4.2061	0.014294999999999999	0.52651	2.5984e-05	0.00031808
MORF4L1	4	-0.9734299999999999	-8.9392	0.01085	0.46033999999999997	3.9193000000000005e-19	2.7751999999999998e-17	-0.8959299999999999	-8.3915	0.012871	0.47846000000000005	4.799e-17	3.0847e-15	-0.84455	-8.3763	0.012056	0.5606399999999999	5.4626000000000005e-17	4.6644e-15	-1.1038	-9.1069	0.0035018999999999996	0.47778000000000004	8.4785e-20	1.7375e-17
DHX9	4	-0.6806	-6.3374	0.047936	0.6714899999999999	2.3361e-10	5.03e-09	-0.8895299999999999	-8.048	0.013353	0.48643000000000003	8.4169e-16	4.6692e-14	-0.60733	-5.9705	0.046444	0.70217	2.3653e-09	5.8524e-08	-0.7065	-6.1797	0.025478	0.62416	6.4206e-10	2.6009e-08
ADIPOR1	4	-0.78074	-7.9642	0.028301999999999997	0.5959300000000001	1.6631e-15	7.224299999999999e-14	-0.48489	-5.2157	0.12382	0.81147	1.8312000000000001e-07	2.645e-06	-0.49933	-5.5838	0.09066	0.79838	2.3527e-08	4.7213000000000003e-07	-0.59014	-5.8429	0.049739	0.70926	5.1298e-09	1.686e-07
NFYB	4	-0.7358100000000001	-7.0124	0.035995	0.63146	2.3421e-12	6.8682e-11	-0.8257200000000001	-7.7593	0.018371000000000002	0.5405399999999999	8.5424e-15	4.1085e-13	-0.78495	-7.9201	0.016671000000000002	0.59877	2.3729e-15	1.6336e-13	-0.53981	-4.9665	0.068603	0.74275	6.8167e-07	1.3555e-05
SUMF2	4	-0.6177600000000001	-6.6563	0.067455	0.7169	2.8085000000000002e-11	7.0595e-10	-0.35345	-3.9010000000000002	0.27826	0.9032399999999999	9.580799999999999e-05	0.00068934	-0.37408	-4.2125	0.20052999999999999	0.86869	2.5256e-05	0.0002364	-0.5756600000000001	-6.0237	0.054274	0.71127	1.7049e-09	6.292000000000001e-08
HMGCS1	5	-0.9715600000000001	-10.937999999999999	0.010942	0.46118000000000003	7.5921e-28	1.2245e-25	-1.0445	-11.657	0.0061542	0.39778	2.1038e-31	6.1076e-29	-0.8576299999999999	-10.394	0.011229000000000001	0.5526800000000001	2.6430999999999997e-25	6.672499999999999e-23	-0.9133600000000001	-9.6923	0.008048699999999999	0.51782	3.2508999999999996e-22	8.2069e-20
MRPS2	4	-0.76993	-7.6367	0.029887	0.60487	2.2287e-14	8.7044e-13	-0.63848	-6.4723	0.049831	0.6540699999999999	9.6507e-11	2.6226e-09	-0.15527	-1.7071	0.75805	0.9878100000000001	0.08781	0.19535	-0.038852	-0.40475	0.69976	0.98065	0.68566	0.8229299999999999
F7	4	0.26265	3.0107	0.025053	0.58386	0.0026063	0.010957999999999999	0.15491	1.7632	0.079098	0.73632	0.077872	0.17635	0.052041	0.60232	0.34729	0.9322799999999999	0.54696	0.70162	0.012616	0.13592	0.46546000000000004	0.94444	0.89189	0.94419
ITGB2	4	0.61195	6.7896	0.0010907999999999998	0.33176	1.1247e-11	3.0048000000000003e-10	0.68892	7.7278	0.0006888999999999999	0.23692	1.0942e-14	5.1515e-13	0.041645999999999996	0.44914	0.38299999999999995	0.94473	0.65333	0.7809699999999999	0.010637	0.10293	0.47415	0.94499	0.9180200000000001	0.95806
ANKLE2	4	-0.85805	-8.3581	0.018968000000000002	0.54169	6.3753e-17	3.2953e-15	-0.70509	-7.0487	0.03464	0.61317	1.8058e-12	6.539699999999999e-11	-0.77882	-8.0107	0.017234	0.60525	1.1407e-15	8.0446e-14	-0.69393	-6.5601	0.027452999999999998	0.63672	5.378e-11	2.5666e-09
RPL29	4	-0.8361200000000001	-7.2783	0.02131	0.55929	3.3809000000000003e-13	1.1413e-11	-1.0091	-8.5109	0.0073139	0.41491000000000006	1.7251e-17	1.202e-15	-0.71836	-6.7873	0.024376	0.64742	1.1423e-11	4.2216e-10	-0.75498	-6.189	0.019083000000000003	0.58316	6.054899999999999e-10	2.4700000000000003e-08
TRAPPC8	4	-0.63451	-7.5605	0.061588	0.70677	4.0152999999999994e-14	1.5338e-12	-0.50749	-6.1618	0.10837999999999999	0.7905399999999999	7.192099999999999e-10	1.6726e-08	-0.51045	-6.3912	0.084896	0.78493	1.6462000000000002e-10	4.9696e-09	-0.40767	-4.7784	0.15755	0.8340799999999999	1.7667e-06	3.1306e-05
RETNLB	6	0.28991999999999996	4.1703	0.017487	0.5252600000000001	3.0426e-05	0.00023482	0.18069000000000002	2.5816	0.056662	0.67835	0.0098352	0.034849	0.18178	2.6574	0.085883	0.78613	0.0078754	0.030369999999999998	0.21500999999999998	2.9725	0.047351	0.7088	0.0029537	0.016003
RBAK	4	-0.62859	-7.3721	0.06365499999999999	0.71205	1.6800999999999998e-13	5.9244e-12	-0.84351	-9.6539	0.016809	0.5280600000000001	4.7319999999999995e-22	5.887699999999999e-20	-0.61539	-7.5018	0.044377	0.69408	6.2942e-14	3.5482e-12	-0.6234	-6.9792	0.041426	0.69077	2.9681e-12	1.8530999999999998e-10
WHSC1L1	4	0.22812	2.6491	0.037752	0.6390100000000001	0.0080705	0.028004	0.098304	1.1338	0.15821	0.84814	0.25687	0.42436999999999997	0.10106	1.1877	0.21219000000000002	0.8784700000000001	0.23496	0.39881	0.088062	0.98441	0.21645	0.87197	0.32492	0.52376
VPS13D	4	-0.7167100000000001	-7.4009	0.040001999999999996	0.64879	1.3526e-13	4.8183e-12	-0.5697	-6.0518	0.074298	0.7282	1.4325e-09	3.1908e-08	-0.46588999999999997	-5.2363	0.11158	0.80588	1.6385000000000003e-07	2.7710000000000002e-06	-0.3556	-3.6795	0.22016999999999998	0.8739399999999999	0.00023368	0.0020191
RASA3	4	0.20586999999999997	2.5092	0.04944	0.67545	0.0121	0.039264	0.19457	2.3746	0.047569	0.65142	0.017567	0.055015999999999995	0.14037	1.7462	0.13784000000000002	0.8261700000000001	0.08077000000000001	0.18365	0.20062	2.3658	0.056720000000000007	0.71542	0.01799	0.067232
FGF12	6	0.30334	4.8464	0.014984	0.5021	1.2573e-06	1.3486e-05	0.29211	4.6725	0.014915000000000001	0.51462	2.975e-06	3.1773e-05	0.34073000000000003	5.5745	0.015443	0.58225	2.4828000000000002e-08	4.959600000000001e-07	0.36951	5.7649	0.008485	0.51782	8.1699e-09	2.5781e-07
CCDC172	4	-0.62019	-5.6262	0.066709	0.7164	1.8423e-08	2.9094000000000004e-07	-0.4598	-4.3051	0.14365	0.8360299999999999	1.6692000000000002e-05	0.00014911	-0.25914	-2.5971	0.41601000000000005	0.94958	0.0094007	0.034825999999999996	-0.34741	-3.1082	0.23234000000000002	0.87936	0.0018824000000000002	0.011202
RPS8	5	-0.85782	-7.6574	0.019002	0.54169	1.8978e-14	7.4624e-13	-0.66298	-6.2361	0.043125	0.6398699999999999	4.4854000000000004e-10	1.0837000000000001e-08	-0.98749	-9.2381	0.005672	0.48911000000000004	2.5082e-20	3.5521e-18	-0.9628200000000001	-7.5775	0.0063953000000000005	0.48522	3.5228e-14	3.1795e-12
EPB41	4	-0.60053	-7.0495	0.073965	0.72895	1.796e-12	5.4219999999999995e-11	-0.55478	-6.5542	0.08140499999999999	0.7428	5.5938000000000005e-11	1.5767000000000001e-09	-0.51623	-6.2584	0.081715	0.78013	3.8901999999999997e-10	1.1001e-08	-0.48181999999999997	-5.5314	0.09882300000000001	0.78033	3.1764e-08	8.658700000000001e-07
AASDHPPT	4	-0.79004	-6.6886	0.026902	0.59297	2.2537e-11	5.773099999999999e-10	-0.42363	-3.9441	0.17985	0.8630899999999999	8.0088e-05	0.00058888	0.08501900000000001	0.90991	0.25194	0.9007799999999999	0.36286999999999997	0.53776	0.078319	0.74869	0.2411	0.88189	0.45403999999999994	0.6479
NOL8	4	-0.60802	-5.6088	0.07096799999999999	0.72077	2.0372e-08	3.194e-07	-0.42704	-4.1076	0.17592	0.86039	3.9982e-05	0.00032347	-0.43482	-4.3985	0.1364	0.8250700000000001	1.0902e-05	0.00011406	-0.21863000000000002	-2.0340000000000003	0.52291	0.95229	0.041948	0.12624000000000002
SMG7	4	-0.61406	-8.0931	0.068844	0.7186	5.814300000000001e-16	2.6723e-14	-0.56005	-7.4301	0.07893700000000001	0.73632	1.0852e-13	4.5113e-12	-0.12979000000000002	-1.7979	0.8649899999999999	0.9927799999999999	0.07219600000000001	0.16938	-0.097125	-1.297	0.9819700000000001	0.99979	0.19462000000000002	0.37465
ZFHX4	4	0.21264	2.0058	0.04572	0.6637	0.04488	0.11187000000000001	0.33776999999999996	3.2329	0.0088524	0.42363	0.0012255999999999999	0.006118899999999999	0.14467	1.3975	0.13149	0.8204799999999999	0.16225	0.30751	-0.096742	-0.8383299999999999	0.98011	0.99979	0.40184000000000003	0.59953
COL7A1	4	0.46257	5.0636	0.0030886	0.38364000000000004	4.1148000000000003e-07	4.9398000000000005e-06	0.35316	3.8332	0.0074057	0.41491000000000006	0.00012647	0.00088084	0.3543	3.9582	0.013571000000000001	0.56295	7.5522e-05	0.00060595	0.29600000000000004	3.0461	0.017831	0.56545	0.002318	0.013290999999999999
RBBP5	4	-1.1438	-12.515999999999998	0.005017499999999999	0.38761	6.075e-36	1.7068e-33	-1.0665	-11.868	0.0055457	0.3888	1.7264999999999998e-32	5.3701999999999995e-30	-0.7316699999999999	-8.8073	0.022722	0.6363300000000001	1.2816999999999999e-18	1.3782000000000001e-16	-0.70734	-7.8505	0.025386000000000002	0.62416	4.1451e-15	4.4847e-13
SMC1A	4	-0.89154	-8.6034	0.015948	0.50961	7.741299999999999e-18	4.5099e-16	-1.0169	-9.6448	0.0070498	0.41491000000000006	5.171199999999999e-22	6.3435e-20	-0.54897	-5.8295	0.067294	0.7511899999999999	5.5601e-09	1.2983e-07	-0.5788800000000001	-5.5511	0.05316	0.71091	2.8388e-08	7.7873e-07
TTC34	6	0.28914	4.0286	0.017669999999999998	0.5252600000000001	5.6106999999999997e-05	0.00040688	0.046686	0.63594	0.27971	0.9032399999999999	0.52481	0.68206	0.24878000000000003	3.5536	0.040576	0.69408	0.00037999999999999997	0.002457	0.17708	2.3394	0.075538	0.74846	0.019316	0.071
GPC6	4	-0.69929	-7.6858	0.043791000000000004	0.6602100000000001	1.5199e-14	6.0444e-13	-0.74895	-8.2109	0.027579000000000003	0.59382	2.195e-16	1.2788e-14	-0.69421	-7.8932	0.027499000000000003	0.6603899999999999	2.9463e-15	1.997e-13	-0.7318399999999999	-7.6746	0.021884	0.59577	1.6590999999999998e-14	1.6235e-12
ATP6V0D1	4	-0.85974	-8.491	0.018784	0.5411600000000001	2.0480000000000002e-17	1.1219000000000001e-15	-0.70248	-7.1894	0.035146	0.61317	6.5058e-13	2.4961e-11	-0.41973999999999995	-4.7022	0.15033	0.8373700000000001	2.5742000000000003e-06	3.2283e-05	-0.52961	-5.2104	0.07338	0.74484	1.884e-07	4.2843e-06
GUF1	6	-0.6238	-7.5931	0.065377	0.71205	3.1233e-14	1.2063e-12	-0.55042	-6.8301	0.083748	0.75003	8.4875e-12	2.7277e-10	-0.55169	-7.2017	0.066123	0.74854	5.947899999999999e-13	2.7948e-11	-0.51939	-6.0041	0.078604	0.75563	1.9238e-09	6.9523e-08
PRICKLE2	4	0.20137	2.3028	0.052471000000000004	0.6851	0.021287999999999998	0.062238999999999996	0.10665999999999999	1.2104	0.14348	0.8360299999999999	0.22614	0.3889	0.06675	0.77862	0.30203	0.9206200000000001	0.4362	0.60745	0.096946	1.0448	0.19583	0.86526	0.2961	0.49317
POFUT1	5	0.24398000000000003	3.0883	0.031506	0.6127199999999999	0.0020128	0.0088449	0.04582	0.5719	0.28248	0.90496	0.56739	0.71553	-0.050712	-0.6435	0.77433	0.9878100000000001	0.5199	0.67885	-0.078042	-0.9237	0.8895200000000001	0.99661	0.35564	0.5547
RRP9	6	-0.67166	-7.2561	0.05037	0.67935	3.9831e-13	1.3393999999999999e-11	-0.4498	-5.1202	0.15322	0.8456	3.0528000000000004e-07	4.207e-06	-0.6731199999999999	-7.7784	0.03115	0.6707	7.3421e-15	4.7721e-13	-0.44593	-4.6852	0.12320999999999999	0.81379	2.7965e-06	4.6748e-05
